repo,commit_count,before_prs,after_prs,before_text,after_text
ArthurSonzogni/FTXUI,793,481,42,481,42
php-llm/llm-chain,347,309,40,309,40
ensdomains/ensdomains-landing,972,616,50,616,50
celestiaorg/blobstream-contracts,450,267,29,267,29
shinnku-nikaidou/shinnku-com,907,131,69,131,69
haydenbleasel/kibo,486,103,97,103,97
elixir-lsp/vscode-elixir-ls,739,173,27,173,27
neohaskell/NeoHaskell,77,20,38,20,38
useautumn/autumn,2750,73,27,73,27
python-cachier/cachier,408,188,29,188,29
Jij-Inc/OpenJij,2466,386,64,386,64
nearai/nearai,748,761,23,761,23
livekit/agents,2492,1109,91,1109,91
agentmark-ai/agentmark,442,205,95,205,95
antontanderup/mediocre-hass-media-player-cards,164,65,35,65,35
obi1kenobi/cargo-semver-checks,1120,913,87,913,87
getAsterisk/claudia,201,64,36,64,36
Azure-Samples/openai-chat-app-quickstart,494,266,34,266,34
digitaldemocracy2030/kouchou-ai,1930,125,75,125,75
janbjorge/pgqueuer,450,309,91,309,91
serverpod/serverpod,2192,1216,84,1216,84
Myriad-Dreamin/tinymist,1667,1422,78,1422,78
djlint/djLint,2189,864,36,864,36
antiwork/flexile,787,26,74,26,74
spring-projects/spring-kafka,2892,2039,61,2039,61
Chainlit/chainlit,1294,969,31,969,31
milvus-io/pymilvus,2088,1848,52,1848,52
MotiaDev/motia-examples,269,33,67,33,67
livestorejs/livestore,1808,162,38,162,38
huggingface/huggingface_hub,2026,1806,94,1806,94
microsoft/magentic-ui,405,38,62,38,62
OpenListTeam/OpenList,2597,219,81,219,81
jnidzwetzki/pg-lock-tracer,361,195,44,195,44
codemod-com/codemod,1698,1425,75,1425,75
DistroAV/DistroAV,1034,196,36,196,36
typedef-ai/fenic,200,72,28,72,28
txtx/surfpool,427,163,37,163,37
wei/socialify,453,456,44,456,44
katspaugh/wavesurfer.js,2062,1192,69,1192,69
oraios/serena,1684,73,27,73,27
tokens-studio/figma-plugin,2167,1404,96,1404,96
bldrs-ai/Share,1870,751,49,751,49
jesec/flood,2738,410,28,410,28
TorchIO-project/torchio,1811,597,60,597,60
hsahovic/poke-env,1229,476,24,476,24
ithacaxyz/porto,1846,396,104,396,104
deco-cx/chat,2174,513,87,513,87
FerretDB/FerretDB,2573,3512,88,3512,88
jlowin/fastmcp,2488,246,54,246,54
mateothegreat/svelte5-router,722,24,58,24,58
