repo,issue_bodies,review_comments,pr_bodies,total_comm,period
Loganrdj/portfolio,0,0,2,2,before
MetricsHub/jawk,37,15,136,188,before
OpenHFT/Chronicle-Core,731,655,366,1752,before
OpenHFT/JLBH,17,59,43,119,before
RadicalZephyr/bitburner-scripts,2,0,0,2,before
TeamEver/everblock,37,0,3,40,before
adrianwedd/personal-intelligence-node,0,0,2,2,before
alexanderthclark/FreeRide,1,0,24,25,before
arran4/dotfiles,28,0,5,33,before
bbuchsbaum/fmrireg,4,0,0,4,before
bozelosp/remod,0,0,1,1,before
edinsoncs/suni-coin,0,0,18,18,before
jdereg/java-util,21,3,93,117,before
jdereg/json-io,141,29,179,349,before
jremillard/osmmapmaker,3,0,1,4,before
jwiedeman/BlueFrogAnalytics,0,0,21,21,before
makhin/PhotoBank,5,0,1,6,before
ohhmm/openmind,102,45,583,730,before
piotr-gorczynski/Soccer,42,0,0,42,before
supermarsx/whoisdigger,14,1,81,96,before
triblespace/tribles-rust,12,0,0,12,before
wieslawsoltes/Dock,154,90,187,431,before
Loganrdj/portfolio,0,0,170,170,after
MetricsHub/jawk,3,5,211,219,after
MrME-CodeSmith/QuoteSwift,0,0,237,237,after
OpenHFT/Chronicle-Core,1,33,142,176,after
OpenHFT/JLBH,0,3,109,112,after
RadicalZephyr/bitburner-scripts,107,2,248,357,after
TeamEver/everblock,4,3,620,627,after
Yusukepkl/I.A-Sarah,0,0,107,107,after
adrianwedd/personal-intelligence-node,1,1,193,195,after
alexanderthclark/FreeRide,0,0,133,133,after
arran4/dotfiles,0,0,164,164,after
bararchy/shainet,0,0,376,376,after
bbuchsbaum/fmrireg,0,0,174,174,after
bozelosp/remod,0,0,119,119,after
dBinet/SquirrelAttack,0,0,142,142,after
edinsoncs/suni-coin,0,0,129,129,after
jdereg/java-util,0,1,241,242,after
jdereg/json-io,18,0,114,132,after
jorgesanabria/DBAL,0,0,168,168,after
jremillard/osmmapmaker,1,0,134,135,after
jwiedeman/BlueFrogAnalytics,0,0,1169,1169,after
makhin/PhotoBank,0,0,945,945,after
noperson83/WBee-appware,0,0,318,318,after
ohhmm/openmind,25,413,300,738,after
piotr-gorczynski/Soccer,235,220,614,1069,after
supermarsx/smtp-burst,1,3,184,188,after
supermarsx/whoisdigger,0,3,801,804,after
triblespace/tribles-rust,2,1,307,310,after
wieslawsoltes/Dock,42,37,477,556,after
