topic_label,group,total_emojis,avg_emojis,avg_density,n_docs
Bug Fixing & Debugging,after,103,0.5754189944134078,0.0003378260336569577,179
Bug Fixing & Debugging,before,1,0.0028735632183908046,7.425227954498204e-06,348
Code Review & Collaboration,after,0,0.0,0.0,12
Code Review & Collaboration,before,0,0.0,0.0,62
Deployment,after,14,0.4,0.000285063428212465,35
Deployment,before,0,0.0,0.0,164
Documentation & Communication,after,4,0.18181818181818182,0.0035682360774417585,22
Documentation & Communication,before,0,0.0,0.0,241
Feature Development,after,1,0.010638297872340425,1.4146672702580353e-05,94
Feature Development,before,0,0.0,0.0,175
Refactoring & Cleanup,after,26,1.368421052631579,0.000792712195866616,19
Refactoring & Cleanup,before,0,0.0,0.0,93
Testing & CI,after,3,0.07894736842105263,0.00028369775321259474,38
Testing & CI,before,2,0.0125,1.0638297872340426e-05,160
UI / UX,after,0,0.0,0.0,41
UI / UX,before,0,0.0,0.0,90
