category,after_agent,after_human,before,count_before,count_after_human,count_after_agent,share_before,share_after_human,share_after_agent
Deployment_Config_Build,335,92,613,613,92,335,24.086444007858546,44.8780487804878,8.333333333333334
Documentation,572,6,85,85,6,572,3.3398821218074657,2.926829268292683,14.228855721393035
Feature Development,829,31,490,490,31,829,19.25343811394892,15.121951219512194,20.621890547263682
Fixes,248,21,231,231,21,248,9.076620825147348,10.24390243902439,6.169154228855722
Optimization,236,0,23,23,0,236,0.9037328094302554,0.0,5.870646766169155
Refactoring,244,3,188,188,3,244,7.3870333988212185,1.4634146341463414,6.069651741293533
Repository Management,161,11,112,112,11,161,4.400785854616896,5.365853658536586,4.0049751243781095
Security,3,9,168,168,9,3,6.601178781925344,4.390243902439025,0.07462686567164178
Testing,916,6,120,120,6,916,4.715127701375246,2.926829268292683,22.786069651741293
User Interface,476,26,515,515,26,476,20.23575638506876,12.682926829268293,11.840796019900498
