group,topic_id,count
after_agent,-1,577
after_agent,0,3
after_agent,2,24
after_agent,3,7
after_agent,4,19
after_agent,6,24
after_agent,7,39
after_agent,8,6
after_agent,9,138
after_agent,10,41
after_agent,11,6
after_agent,12,203
after_agent,13,4
after_agent,16,2
after_agent,17,1
after_agent,18,27
after_agent,19,1
after_agent,20,9
after_agent,22,15
after_agent,23,125
after_agent,24,5
after_agent,26,127
after_agent,27,108
after_agent,28,4
after_agent,29,7
after_agent,30,3
after_agent,31,1
after_agent,32,3
after_agent,33,1
after_agent,34,2
after_agent,35,2
after_agent,36,14
after_agent,37,22
after_agent,38,1
after_agent,40,1
after_agent,41,11
after_agent,43,4
after_agent,45,5
after_agent,47,1
after_agent,48,55
after_agent,49,2
after_agent,50,2
after_agent,51,14
after_agent,52,16
after_agent,54,49
after_agent,55,48
after_human,-1,183
after_human,0,42
after_human,1,10
after_human,2,24
after_human,3,13
after_human,5,32
after_human,6,10
after_human,7,5
after_human,8,3
after_human,9,3
after_human,11,14
after_human,13,1
after_human,15,1
after_human,16,4
after_human,18,3
after_human,29,4
after_human,30,1
after_human,31,3
after_human,32,7
after_human,34,2
after_human,35,2
after_human,36,3
after_human,37,2
after_human,38,5
after_human,43,2
after_human,44,9
after_human,45,6
after_human,46,3
after_human,49,2
after_human,50,3
after_human,53,7
after_human,54,1
before,-1,5997
before,0,1418
before,1,804
before,2,580
before,3,549
before,4,346
before,5,319
before,6,287
before,7,244
before,8,273
before,9,140
before,10,220
before,11,232
before,12,48
before,13,223
before,14,211
before,15,197
before,16,186
before,17,178
before,18,139
before,19,158
before,20,146
before,21,154
before,22,131
before,23,15
before,24,133
before,25,137
before,26,4
before,27,21
before,28,124
before,29,115
before,30,117
before,31,116
before,32,99
before,33,106
before,34,101
before,35,101
before,36,84
before,37,76
before,38,92
before,39,96
before,40,92
before,41,78
before,42,88
before,43,81
before,44,75
before,45,72
before,46,79
before,47,79
before,48,19
before,49,63
before,50,61
before,51,50
before,52,44
before,53,52
before,54,7
before,55,4
before,56,52
