text_type,topic,n_docs_assigned,mean_confidence,std_confidence
commit_messages,Feature Development,3932,0.17304462148524924,0.02195536722645909
commit_messages,UI / UX,2753,0.1918111666945151,0.03582914730662207
commit_messages,Bug Fixing & Debugging,3835,0.179276469095176,0.030007410453947506
commit_messages,Testing & CI,3942,0.21262311730339928,0.04990249434425154
commit_messages,Refactoring & Cleanup,3401,0.1777917820640988,0.03212513685144719
commit_messages,Documentation & Communication,4312,0.1883869094434137,0.03606185010889962
commit_messages,Deployment,6281,0.18528992260627286,0.029348706591016616
commit_messages,Code Review & Collaboration,5211,0.16614386327000574,0.012965689263439783
pr_bodies,Feature Development,887,0.17035491562570462,0.017856278265803504
pr_bodies,UI / UX,1266,0.18852903409952607,0.028958002199550022
pr_bodies,Bug Fixing & Debugging,1006,0.17677108100397612,0.023945465362232972
pr_bodies,Testing & CI,4747,0.19815963825995367,0.036405561546498606
pr_bodies,Refactoring & Cleanup,441,0.16752834217687076,0.022043528157383065
pr_bodies,Documentation & Communication,1352,0.18026902081360946,0.02582980791752895
pr_bodies,Deployment,846,0.17386296751773053,0.020930963860156755
pr_bodies,Code Review & Collaboration,247,0.16475049522267207,0.019860483943853
issue_bodies,Feature Development,269,0.16844513137546469,0.01834781670852931
issue_bodies,UI / UX,131,0.1836857283206107,0.02955000233563668
issue_bodies,Bug Fixing & Debugging,527,0.18440066882352943,0.028750847882270062
issue_bodies,Testing & CI,198,0.2010234468686869,0.04650578541388134
issue_bodies,Refactoring & Cleanup,112,0.16330569419642857,0.01715253366445036
issue_bodies,Documentation & Communication,263,0.15621711334600763,0.015536330799075236
issue_bodies,Deployment,199,0.15862683567839195,0.012504460440915093
issue_bodies,Code Review & Collaboration,74,0.16081737189189188,0.015900497816987814
review_comments,Feature Development,18,0.16340519111111113,0.016872496332808046
review_comments,UI / UX,16,0.173103043125,0.011364735759080431
review_comments,Bug Fixing & Debugging,36,0.1833218311111111,0.03285653465156942
review_comments,Testing & CI,28,0.23271383678571425,0.045658072024417864
review_comments,Refactoring & Cleanup,32,0.1618013459375,0.01671263493852777
review_comments,Documentation & Communication,11,0.1604594972727273,0.02255286855238883
review_comments,Deployment,12,0.17960904916666667,0.018133072355330217
review_comments,Code Review & Collaboration,51,0.18620386392156865,0.024455920703549284
