text_type,topic,test,chi2,p_value,cramers_v,before_neg,after_neg,before_neu,after_neu,before_pos,after_pos,total_n,odds_ratio,p_adj,reject_H0
commit_messages,Bug Fixing & Debugging,chi_square,61.67082656176404,4.058356225377024e-14,0.12681107976401867,307,457,1305,1070,406,290,3835,,1.2986739921206477e-13,True
commit_messages,Code Review & Collaboration,chi_square,28.20316451211618,7.512087537802978e-07,0.07356790415138546,71,361,827,3050,126,776,5211,,1.717048580069252e-06,True
commit_messages,Deployment,chi_square,197.00532034996172,1.6627931748298604e-43,0.17710245472557276,45,200,3069,2167,355,445,6281,,2.6604690797277766e-42,True
commit_messages,Documentation & Communication,chi_square,74.7843621376717,5.764771470370737e-17,0.13169400967417294,42,121,1311,2067,178,593,4312,,2.0496965227984844e-16,True
commit_messages,Feature Development,chi_square,29.390921775367232,4.148035145768884e-07,0.08645693771576694,73,156,903,1753,452,595,3932,,1.17750261586663e-06,True
commit_messages,Refactoring & Cleanup,chi_square,28.299444189443317,7.15902326551789e-07,0.0912190693280133,92,123,1407,1099,320,360,3401,,1.717048580069252e-06,True
commit_messages,Testing & CI,chi_square,8.037382647265584,0.017976474940576553,0.045154289438653405,151,297,1066,1565,354,509,3942,,0.030276168320971037,True
commit_messages,UI / UX,chi_square,91.40250332868453,1.4197065502997398e-20,0.18221156550945566,25,179,614,1321,91,523,2753,,6.490087087084525e-20,True
issue_bodies,Bug Fixing & Debugging,chi_square,17.237757517531165,0.00018066270765788417,0.18085689729954493,107,88,133,49,108,42,527,,0.00036132541531576834,True
issue_bodies,Code Review & Collaboration,fisher_exact,,0.1930317459517114,,11,0,25,0,26,12,74,inf,0.2807734486570348,False
issue_bodies,Deployment,fisher_exact,,1.0,,11,2,109,9,44,24,199,1.1862745098039216,1.0,False
issue_bodies,Documentation & Communication,fisher_exact,,0.507752230237873,,7,1,189,6,45,15,263,0.6282051282051282,0.6249258218312282,False
issue_bodies,Feature Development,chi_square,21.794756322749045,1.8506692003408347e-05,0.284642581089561,15,11,63,9,97,74,269,,3.948094294060447e-05,True
issue_bodies,Refactoring & Cleanup,fisher_exact,,1.0,,10,2,33,8,50,9,112,1.0240963855421688,1.0,False
issue_bodies,Testing & CI,chi_square,12.688305353901994,0.0017569908510194194,0.25314491950705287,38,6,54,4,68,28,198,,0.00312353929070119,True
issue_bodies,UI / UX,chi_square,4.717496128532714,0.09453850527303055,0.18976675374915913,24,6,33,12,33,23,131,,0.15126160843684888,False
pr_bodies,Bug Fixing & Debugging,chi_square,158.27914541922783,4.2669767063903497e-35,0.39665493140960506,85,307,201,88,127,198,1006,,4.551441820149707e-34,True
pr_bodies,Code Review & Collaboration,chi_square,14.076759651672592,0.0008775471904002949,0.23872773145124268,36,39,25,34,26,87,247,,0.0016518535348711435,True
pr_bodies,Deployment,chi_square,79.5907341202277,5.21304748018375e-18,0.3067228096161148,63,228,149,103,126,177,846,,2.0852189920735e-17,True
pr_bodies,Documentation & Communication,chi_square,29.265888085054492,4.415634809499862e-07,0.14712704349240302,60,490,61,236,40,465,1352,,1.17750261586663e-06,True
pr_bodies,Feature Development,chi_square,151.76476010144728,1.1084116206076356e-33,0.4136410767348889,8,258,77,98,48,398,887,,8.867292964861085e-33,True
pr_bodies,Refactoring & Cleanup,chi_square,91.55470622026215,1.315673563063703e-20,0.45563915940507227,12,75,112,59,44,139,441,,6.490087087084525e-20,True
pr_bodies,Testing & CI,chi_square,298.20804436386305,1.7577047922784282e-65,0.25063981508996996,52,2311,174,701,118,1391,4747,,5.62465533529097e-64,True
pr_bodies,UI / UX,chi_square,109.59895580007807,1.588141289046151e-24,0.2942295959524515,12,427,63,207,27,530,1266,,1.0164104249895366e-23,True
review_comments,Bug Fixing & Debugging,fisher_exact,,0.1674573055028463,,3,4,1,16,4,8,36,3.6,0.25517303695671817,False
review_comments,Code Review & Collaboration,fisher_exact,,0.28470588235294114,,0,3,6,22,13,7,51,0.0,0.3961125319693094,False
review_comments,Deployment,fisher_exact,,1.0,,0,0,2,4,0,6,12,,1.0,False
review_comments,Documentation & Communication,fisher_exact,,1.0,,0,2,0,5,2,2,11,0.0,1.0,False
review_comments,Feature Development,fisher_exact,,0.4901960784313726,,1,1,3,2,1,10,18,3.0,0.6249258218312282,False
review_comments,Refactoring & Cleanup,fisher_exact,,1.0,,1,1,4,10,6,10,32,2.0,1.0,False
review_comments,Testing & CI,fisher_exact,,0.3808992939427722,,4,7,0,5,3,9,28,2.6666666666666665,0.5078657252570297,False
review_comments,UI / UX,fisher_exact,,1.0,,0,0,0,1,2,13,16,,1.0,False
