metric,mean,median,std,min,max,n_repos
commits_before,469.62068965517244,110.0,706.4341751659276,0.0,2469.0,29.0
commits_after,692.5172413793103,416.0,693.511953789739,1.0,2414.0,29.0
commits_delta,222.89655172413794,249.0,975.0630142577448,-2412.0,2157.0,29.0
commits_pct_change,3112.9219281504693,147.72423025435074,9809.295364678928,-97.8102189781022,49866.66666666667,26.0
commits_per_month_before,7.0399895909262025,4.666600278554457,7.2515925992896255,0.0508006351116084,29.343351415285234,26.0
commits_per_month_after,197.60473236202205,152.6979926238899,160.14007921526348,1.0,514.9272762423512,29.0
commits_per_month_delta,204.1974718437122,196.03901127630382,162.37245086906657,-11.367819862121245,494.93216945428696,26.0
prs_before,107.06896551724138,3.0,235.02476025098818,0.0,1024.0,29.0
prs_after,596.9310344827586,359.0,527.394128240411,208.0,2295.0,29.0
prs_delta,489.86206896551727,335.0,601.2142905426562,-508.0,2270.0,29.0
prs_pct_change,15407.54767396096,1442.572463768116,42862.86428158209,-66.04850213980028,184400.0,18.0
prs_per_month_before,1.0391271312032593,0.17966647830770288,1.7177762841940054,0.0,5.970188127305596,26.0
prs_per_month_after,190.68104045124994,146.90190320983154,161.82870971486287,36.12023367005427,742.0,29.0
prs_per_month_delta,192.01903403240993,132.1551544225117,169.17421404325182,33.02079651521804,742.0,26.0
reviews_before,64.07142857142857,2.0,172.36698964964003,0.0,655.0,14.0
reviews_after,51.785714285714285,3.0,118.95388800929321,0.0,413.0,14.0
reviews_delta,-12.285714285714286,1.0,210.40489485803263,-622.0,368.0,14.0
reviews_pct_change,66.95980865714984,-66.66666666666666,319.21220241237734,-100.0,817.7777777777777,8.0
reviews_per_month_before,0.6158195258729544,0.021409568148597895,1.4708474337313568,0.0,5.354801187222647,13.0
reviews_per_month_after,10.314724691528507,0.5757633744753241,23.17356467957771,0.0,76.0847146842639,14.0
reviews_per_month_delta,10.440704592566053,0.4339884334111684,24.09777256542209,-0.47330168720288845,75.82235290132567,13.0
